127.0.0.1 - - [05/Sep/2018:16:22:30 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:22:47 -0300] "GET /RuteAr/Test HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:23:41 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:23:49 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:23:49 -0300] "POST /RuteAr/rest/usuarios/login HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:23:52 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:23:52 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:05 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:05 -0300] "POST /RuteAr/rest/rutas HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:22 -0300] "OPTIONS /RuteAr/rest/usuarios HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:22 -0300] "POST /RuteAr/rest/usuarios HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:37 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:37 -0300] "POST /RuteAr/rest/usuarios/login HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:40 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:42 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:42 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:42 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:24:42 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:26:48 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:26:48 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:26:48 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:26:48 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:35 -0300] "OPTIONS /RuteAr/rest/notas HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:35 -0300] "POST /RuteAr/rest/notas HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:37 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:37 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:37 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:27:37 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:01 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:01 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:01 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:01 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:11 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:11 -0300] "OPTIONS /RuteAr/rest/puntajes HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:11 -0300] "POST /RuteAr/rest/puntajes HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:11 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:14 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:16 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:17 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:17 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:17 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:47 -0300] "OPTIONS /RuteAr/rest/puntajes HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:47 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:47 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:47 -0300] "POST /RuteAr/rest/puntajes HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:50 -0300] "GET /RuteAr/rest/rutas/myRoutes/4 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:54 -0300] "GET /RuteAr/rest/rutas/myRoutes/4 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:55 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:56 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:56 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:56 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:29:56 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:47 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:47 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:47 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:48 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:56 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:56 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:56 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:31:56 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 404 26
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:02 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:02 -0300] "OPTIONS /RuteAr/rest/puntajes HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:02 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:02 -0300] "POST /RuteAr/rest/puntajes HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:09 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:09 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:09 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:09 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:32:09 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:33:22 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:33:22 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:33:22 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:33:22 -0300] "GET /RuteAr/rest/puntajes/1/4 HTTP/1.1" 200 706
