0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:16 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:16 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:18 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:18 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:18 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:30 -0300] "OPTIONS /RuteAr/rest/usuarios/loginAdmin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:30 -0300] "POST /RuteAr/rest/usuarios/loginAdmin HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:30 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:30 -0300] "GET /RuteAr/rest/usuarios HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:32 -0300] "OPTIONS /RuteAr/rest/actividades HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:33 -0300] "POST /RuteAr/rest/actividades HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:34 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:34 -0300] "GET /RuteAr/rest/usuarios HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:45 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:45 -0300] "POST /RuteAr/rest/usuarios/login HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:46 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:46 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:59:46 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:32 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:32 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:32 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:35 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:35 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:35 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:58 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:58 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:00:58 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:07 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:07 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:07 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:33 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:33 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:01:33 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:02 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:02 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:02 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:20 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:20 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:20 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:31 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:31 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:04:31 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:05:19 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:05:19 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:05:19 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:24 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:24 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:24 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:59 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:59 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:06:59 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:07:33 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:07:33 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:07:33 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:08:12 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:08:12 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:08:12 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:09:03 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:09:03 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:09:03 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
